gvkey,iid,datadate,tic,gsector
002345,01,2008-08-31,WEDC,45
002345,01,2008-09-30,WEDC,45
002345,01,2008-10-31,WEDC,45
002345,01,2008-11-30,WEDC,45
002345,01,2008-12-31,WEDC,45
002345,01,2009-01-31,WEDC,45
002345,01,2009-02-28,WEDC,45
002345,01,2009-03-31,WEDC,45
002345,01,2009-04-30,WEDC,45
002345,01,2009-05-31,WEDC,45
002345,01,2009-06-30,WEDC,45
002345,01,2009-07-31,WEDC,45
002345,01,2009-08-31,WEDC,45
002345,01,2009-09-30,WEDC,45
002345,01,2009-10-31,WEDC,45
002345,01,2009-11-30,WEDC,45
002345,01,2009-12-31,WEDC,45
002345,01,2010-01-31,WEDC,45
002345,01,2010-02-28,WEDC,45
002345,01,2010-03-31,WEDC,45
002345,01,2010-04-30,WEDC,45
003240,01,1995-01-31,CGCO,15
003240,01,1995-02-28,CGCO,15
003240,01,1995-03-31,CGCO,15
003240,01,1995-04-30,CGCO,15
003240,01,1995-05-31,CGCO,15
003240,01,1995-06-30,CGCO,15
003240,01,1995-07-31,CGCO,15
003240,01,1995-08-31,CGCO,15
003240,01,1995-09-30,CGCO,15
003240,01,1995-10-31,CGCO,15
003240,01,1995-11-30,CGCO,15
003240,01,1995-12-31,CGCO,15
003240,01,1996-01-31,CGCO,15
003240,01,1996-02-29,CGCO,15
003240,01,1996-03-31,CGCO,15
003240,01,1996-04-30,CGCO,15
003240,01,1996-05-31,CGCO,15
003240,01,1996-06-30,CGCO,15
003240,01,1996-07-31,CGCO,15
003240,01,1996-08-31,CGCO,15
003240,01,1996-09-30,CGCO,15
003240,01,1996-10-31,CGCO,15
003240,01,1996-11-30,CGCO,15
003240,01,1996-12-31,CGCO,15
003240,01,1997-01-31,CGCO,15
003240,01,1997-02-28,CGCO,15
003240,01,1997-03-31,CGCO,15
003240,01,1997-04-30,CGCO,15
003240,01,1997-05-31,CGCO,15
003240,01,1997-06-30,CGCO,15
003240,01,1997-07-31,CGCO,15
003240,01,1997-08-31,CGCO,15
003240,01,1997-09-30,CGCO,15
003240,01,1997-10-31,CGCO,15
003240,01,1997-11-30,CGCO,15
003240,01,1997-12-31,CGCO,15
003240,01,1998-01-31,CGCO,15
003240,01,1998-02-28,CGCO,15
003240,01,1998-03-31,CGCO,15
003240,01,1998-04-30,CGCO,15
003240,01,1998-05-31,CGCO,15
003240,01,1998-06-30,CGCO,15
003240,01,1998-07-31,CGCO,15
003240,01,1998-08-31,CGCO,15
003240,01,1998-09-30,CGCO,15
003240,01,1998-10-31,CGCO,15
003240,01,1998-11-30,CGCO,15
003240,01,1998-12-31,CGCO,15
003240,01,1999-01-31,CGCO,15
003240,01,1999-02-28,CGCO,15
003240,01,1999-05-31,CGCO,15
003240,01,1999-06-30,CGCO,15
003240,01,1999-07-31,CGCO,15
003240,01,1999-08-31,CGCO,15
003240,01,1999-09-30,CGCO,15
003240,01,1999-10-31,CGCO,15
003240,01,1999-11-30,CGCO,15
003240,01,1999-12-31,CGCO,15
003240,01,2000-01-31,CGCO,15
003240,01,2000-02-29,CGCO,15
003240,01,2000-03-31,CGCO,15
003240,01,2000-04-30,CGCO,15
003240,01,2000-05-31,CGCO,15
003240,01,2000-06-30,CGCO,15
003240,01,2000-07-31,CGCO,15
003240,01,2000-08-31,CGCO,15
003240,01,2000-09-30,CGCO,15
003240,01,2000-10-31,CGCO,15
003240,01,2000-11-30,CGCO,15
003240,01,2000-12-31,CGCO,15
003240,01,2001-01-31,CGCO,15
003240,01,2001-02-28,CGCO,15
003240,01,2001-03-31,CGCO,15
003240,01,2001-04-30,CGCO,15
003240,01,2001-05-31,CGCO,15
003240,01,2001-06-30,CGCO,15
003240,01,2001-07-31,CGCO,15
003240,01,2001-08-31,CGCO,15
003240,01,2001-09-30,CGCO,15
003240,01,2001-10-31,CGCO,15
003240,01,2001-11-30,CGCO,15
003240,01,2001-12-31,CGCO,15
003240,01,2002-01-31,CGCO,15
003240,01,2002-02-28,CGCO,15
003240,01,2002-03-31,CGCO,15
003240,01,2002-04-30,CGCO,15
003240,01,2002-05-31,CGCO,15
003240,01,2002-06-30,CGCO,15
003240,01,2002-07-31,CGCO,15
003240,01,2002-08-31,CGCO,15
003240,01,2002-09-30,CGCO,15
003240,01,2002-10-31,CGCO,15
003240,01,2002-11-30,CGCO,15
003240,01,2002-12-31,CGCO,15
003240,01,2003-01-31,CGCO,15
003240,01,2003-02-28,CGCO,15
003240,01,2003-03-31,CGCO,15
003240,01,2003-04-30,CGCO,15
003240,01,2003-05-31,CGCO,15
003240,01,2003-06-30,CGCO,15
003240,01,2003-07-31,CGCO,15
003240,01,2003-08-31,CGCO,15
003240,01,2003-09-30,CGCO,15
003240,01,2003-10-31,CGCO,15
003240,01,2003-11-30,CGCO,15
003240,01,2003-12-31,CGCO,15
003240,01,2004-01-31,CGCO,15
003240,01,2004-02-29,CGCO,15
003240,01,2004-03-31,CGCO,15
003240,01,2004-04-30,CGCO,15
003240,01,2004-05-31,CGCO,15
003240,01,2004-06-30,CGCO,15
003240,01,2004-07-31,CGCO,15
003240,01,2004-08-31,CGCO,15
003240,01,2004-09-30,CGCO,15
003240,01,2004-10-31,CGCO,15
003240,01,2004-11-30,CGCO,15
003240,01,2004-12-31,CGCO,15
003240,01,2005-01-31,CGCO,15
003240,01,2005-02-28,CGCO,15
003240,01,2005-03-31,CGCO,15
003240,01,2005-04-30,CGCO,15
003240,01,2005-05-31,CGCO,15
003240,01,2005-06-30,CGCO,15
003240,01,2005-07-31,CGCO,15
003240,01,2005-08-31,CGCO,15
003240,01,2005-09-30,CGCO,15
003240,01,2005-10-31,CGCO,15
003240,01,2005-11-30,CGCO,15
003240,01,2005-12-31,CGCO,15
003240,01,2006-01-31,CGCO,15
003240,01,2006-02-28,CGCO,15
003240,01,2006-03-31,CGCO,15
003240,01,2006-04-30,CGCO,15
003240,01,2006-05-31,CGCO,15
003240,01,2006-06-30,CGCO,15
003240,01,2006-07-31,CGCO,15
003240,01,2006-08-31,CGCO,15
003240,01,2006-09-30,CGCO,15
003240,01,2006-10-31,CGCO,15
003240,01,2006-11-30,CGCO,15
003240,01,2006-12-31,CGCO,15
003240,01,2007-01-31,CGCO,15
003240,01,2007-02-28,CGCO,15
003240,01,2007-03-31,CGCO,15
003240,01,2007-04-30,CGCO,15
003240,01,2007-05-31,CGCO,15
003240,01,2007-06-30,CGCO,15
003240,01,2007-07-31,CGCO,15
003240,01,2007-08-31,CGCO,15
003240,01,2007-09-30,CGCO,15
003240,01,2007-10-31,CGCO,15
003240,01,2007-11-30,CGCO,15
003240,01,2007-12-31,CGCO,15
