PERMNO,date,RET
10104,2014-01-31,-0.032410
10104,2014-02-28,0.059892
10104,2014-03-31,0.046024
10104,2014-04-30,0.002200
10104,2014-05-30,0.027886
10104,2014-06-30,-0.035459
10104,2014-07-31,-0.000493
10104,2014-08-29,0.028225
10104,2014-09-30,-0.078257
10104,2014-10-31,0.023250
10104,2014-11-28,0.086044
10104,2014-12-31,0.060363
10104,2015-01-30,-0.065822
10104,2015-02-27,0.046073
10104,2015-03-31,-0.015290
10104,2015-04-30,0.014368
10104,2015-05-29,-0.002980
10104,2015-06-30,-0.073350
10104,2015-07-31,-0.005211
10104,2015-08-31,-0.071357
10104,2015-09-30,-0.026153
10104,2015-10-30,0.079457
10104,2015-11-30,0.003347
10104,2015-12-31,-0.062612
10104,2016-01-29,-0.001916
10104,2016-02-29,0.012944
10104,2016-03-31,0.112289
10104,2016-04-29,-0.021999
10104,2016-05-31,0.008530
10104,2016-06-30,0.018159
10104,2016-07-29,0.006352
10104,2016-08-31,0.004386
10104,2016-09-30,-0.047065
10104,2016-10-31,-0.018075
10104,2016-11-30,0.046070
10104,2016-12-30,-0.043294
10104,2017-01-31,0.047074
10104,2017-02-28,0.061830
10104,2017-03-31,0.047429
10104,2017-04-28,0.012105
10104,2017-05-31,0.009564
10104,2017-06-30,0.104649
10104,2017-07-31,-0.000399
10104,2017-08-31,0.008011
10104,2017-09-29,-0.039340
10104,2017-10-31,0.056670
10104,2017-11-30,-0.036149
10104,2017-12-29,-0.036282
10104,2018-01-31,0.095178
10104,2018-02-28,-0.017833
10104,2018-03-29,-0.097099
10104,2018-04-30,0.002404
10104,2018-05-31,0.022991
10104,2018-06-29,-0.056935
10104,2018-07-31,0.086473
10104,2018-08-31,0.018876
10104,2018-09-28,0.061342
10104,2018-10-31,-0.049069
10104,2018-11-30,-0.001638
10104,2018-12-31,-0.074036
10104,2019-01-31,0.116722
10104,2019-02-28,0.037826
10104,2019-03-29,0.030309
10104,2019-04-30,0.034630
10104,2019-05-31,-0.085487
10104,2019-06-28,0.125889
10104,2019-07-31,-0.007548
10104,2019-08-30,-0.075311
10104,2019-09-30,0.057050
10104,2019-10-31,-0.005452
10104,2019-11-29,0.030281
10104,2019-12-31,-0.056288
10104,2020-01-31,-0.005474
10104,2020-02-28,-0.057007
10104,2020-03-31,-0.022847
10104,2020-04-30,0.100972
10104,2020-05-29,0.015103
10104,2020-06-30,0.027897
10104,2020-07-31,0.007599
10104,2020-08-31,0.031921
10104,2020-09-30,0.043341
10104,2020-10-30,-0.056114
10104,2020-11-30,0.028694
10104,2020-12-31,0.120755
10104,2021-01-29,-0.062143
10104,2021-02-26,0.067516
10104,2021-03-31,0.087738
10104,2021-04-30,0.084652
10104,2021-05-28,0.038923
10104,2021-06-30,-0.011430
10104,2021-07-30,0.123587
10104,2021-08-31,0.022837
10104,2021-09-30,-0.022439
10104,2021-10-29,0.104786
10104,2021-11-30,-0.054201
10104,2021-12-31,-0.038902
10104,2022-01-31,-0.065703
10104,2022-02-28,-0.063948
10104,2022-03-31,0.088983
10104,2022-04-29,-0.108909
10104,2022-05-31,-0.020164
10104,2022-06-30,-0.028504
10104,2022-07-29,0.118649
10104,2022-08-31,-0.047405
10104,2022-09-30,-0.176399
10104,2022-10-31,0.283609
10104,2022-11-30,0.063533
10104,2022-12-30,-0.015537
10104,2023-01-31,0.086127
10104,2023-02-28,-0.011983
10104,2023-03-31,0.063158
10104,2023-04-28,0.023676
10104,2023-05-31,0.118454
10104,2023-06-30,0.124127
10104,2023-07-31,-0.012260
10104,2023-08-31,0.026956
10104,2023-09-29,-0.120193
10104,2023-10-31,-0.020015
10104,2023-11-30,0.123888
10104,2023-12-29,-0.092763
10104,2024-01-31,0.063265
10107,1999-01-29,0.261830
10107,1999-02-26,-0.142143
10107,1999-03-31,0.194005
10107,1999-04-30,-0.092748
10107,1999-05-28,-0.007686
10107,1999-06-30,0.117738
10107,1999-07-30,-0.048510
10107,1999-08-31,0.078660
10107,1999-09-30,-0.021607
10107,1999-10-29,0.022084
10107,1999-11-30,-0.016374
10107,1999-12-31,0.282306
10107,2000-01-31,-0.161670
10107,2000-02-29,-0.086845
10107,2000-03-31,0.188811
10107,2000-04-28,-0.343529
10107,2000-05-31,-0.103047
10107,2000-06-30,0.278721
10107,2000-07-31,-0.127344
10107,2000-08-31,0.000000
10107,2000-09-29,-0.136079
10107,2000-10-31,0.141969
10107,2000-11-30,-0.166969
10107,2000-12-29,-0.244009
10107,2001-01-31,0.407781
10107,2001-02-28,-0.033777
10107,2001-03-30,-0.073093
10107,2001-04-30,0.238857
10107,2001-05-31,0.021107
10107,2001-06-29,0.055218
10107,2001-07-31,-0.093288
10107,2001-08-31,-0.138087
10107,2001-09-28,-0.103068
10107,2001-10-31,0.136408
10107,2001-11-30,0.104213
10107,2001-12-31,0.031771
10107,2002-01-31,-0.038340
10107,2002-02-28,-0.084288
10107,2002-03-28,0.033768
10107,2002-04-30,-0.133477
10107,2002-05-31,-0.025832
10107,2002-06-28,0.074445
10107,2002-07-31,-0.122852
10107,2002-08-30,0.022926
10107,2002-09-30,-0.108802
10107,2002-10-31,0.222451
10107,2002-11-29,0.078736
10107,2002-12-31,-0.103675
10107,2003-01-31,-0.082012
10107,2003-02-28,0.002107
10107,2003-03-31,0.021519
10107,2003-04-30,0.055762
10107,2003-05-30,-0.037167
10107,2003-06-30,0.041853
10107,2003-07-31,0.030031
10107,2003-08-29,0.004165
10107,2003-09-30,0.048265
10107,2003-10-31,-0.053957
10107,2003-11-28,-0.016450
10107,2003-12-31,0.064566
10107,2004-01-30,0.010230
10107,2004-02-27,-0.040506
10107,2004-03-31,-0.060309
10107,2004-04-30,0.048135
10107,2004-05-28,0.003827
10107,2004-06-30,0.088830
10107,2004-07-30,-0.002451
10107,2004-08-31,-0.038961
10107,2004-09-30,0.012821
10107,2004-10-29,0.011573
10107,2004-11-30,0.068645
10107,2004-12-31,-0.003357
10107,2005-01-31,-0.016467
10107,2005-02-28,-0.039574
10107,2005-03-31,-0.039348
10107,2005-04-29,0.046752
10107,2005-05-31,0.022925
10107,2005-06-30,-0.037209
10107,2005-07-29,0.030998
10107,2005-08-31,0.072237
10107,2005-09-30,-0.060263
10107,2005-10-31,-0.001166
10107,2005-11-30,0.080156
10107,2005-12-30,-0.055275
10107,2006-01-31,0.076482
10107,2006-02-28,-0.042273
10107,2006-03-31,0.012653
10107,2006-04-28,-0.112459
10107,2006-05-31,-0.058385
10107,2006-06-30,0.028698
10107,2006-07-31,0.032618
10107,2006-08-31,0.071904
10107,2006-09-29,0.064202
10107,2006-10-31,0.049726
10107,2006-11-30,0.026123
10107,2006-12-29,0.017030
10107,2007-01-31,0.033490
10107,2007-02-28,-0.083927
10107,2007-03-30,-0.010650
10107,2007-04-30,0.074273
10107,2007-05-31,0.028393
10107,2007-06-29,-0.039756
10107,2007-07-31,-0.016288
10107,2007-08-31,-0.005519
10107,2007-09-28,0.025409
10107,2007-10-31,0.249491
10107,2007-11-30,-0.084216
10107,2007-12-31,0.059524
10107,2008-01-31,-0.084270
10107,2008-02-29,-0.162273
10107,2008-03-31,0.043386
10107,2008-04-30,0.004933
10107,2008-05-30,-0.003156
10107,2008-06-30,-0.028602
10107,2008-07-31,-0.065067
10107,2008-08-29,0.065319
10107,2008-09-30,-0.021986
10107,2008-10-31,-0.163357
10107,2008-11-28,-0.088670
10107,2008-12-31,-0.038576
10107,2009-01-30,-0.120370
10107,2009-02-27,-0.047953
10107,2009-03-31,0.137461
10107,2009-04-30,0.102885
10107,2009-05-29,0.037512
10107,2009-06-30,0.137865
10107,2009-07-31,-0.010517
10107,2009-08-31,0.053571
10107,2009-09-30,0.043408
10107,2009-10-30,0.078149
10107,2009-11-30,0.065272
10107,2009-12-31,0.036382
10107,2010-01-29,-0.075459
10107,2010-02-26,0.022001
10107,2010-03-31,0.021538
10107,2010-04-30,0.042595
10107,2010-05-28,-0.150811
10107,2010-06-30,-0.108140
10107,2010-07-30,0.121686
10107,2010-08-31,-0.085819
10107,2010-09-30,0.043682
10107,2010-10-29,0.088812
10107,2010-11-30,-0.046784
10107,2010-12-31,0.105018
10107,2011-01-31,-0.006628
10107,2011-02-28,-0.035528
10107,2011-03-31,-0.044771
10107,2011-04-29,0.020874
10107,2011-05-31,-0.028935
10107,2011-06-30,0.039584
10107,2011-07-29,0.053846
10107,2011-08-31,-0.023358
10107,2011-09-30,-0.064286
10107,2011-10-31,0.069908
10107,2011-11-30,-0.031919
10107,2011-12-30,0.014855
10107,2012-01-31,0.137519
10107,2012-02-29,0.081612
10107,2012-03-30,0.016226
10107,2012-04-30,-0.007441
10107,2012-05-31,-0.081993
10107,2012-06-29,0.047962
10107,2012-07-31,-0.036613
10107,2012-08-31,0.052596
10107,2012-09-28,-0.034393
10107,2012-10-31,-0.040995
10107,2012-11-30,-0.059390
10107,2012-12-31,0.003558
10107,2013-01-31,0.027717
10107,2013-02-28,0.021129
10107,2013-03-28,0.028957
10107,2013-04-30,0.157140
10107,2013-05-31,0.061329
10107,2013-06-28,-0.010172
10107,2013-07-31,-0.078304
10107,2013-08-30,0.056219
10107,2013-09-30,-0.003593
10107,2013-10-31,0.063852
10107,2013-11-29,0.084875
10107,2013-12-31,-0.018883
10107,2014-01-31,0.011494
10107,2014-02-28,0.019820
10107,2014-03-31,0.069956
10107,2014-04-30,-0.014394
10107,2014-05-30,0.020297
10107,2014-06-30,0.018564
10107,2014-07-31,0.035012
10107,2014-08-29,0.059082
10107,2014-09-30,0.020471
10107,2014-10-31,0.012726
10107,2014-11-28,0.024920
10107,2014-12-31,-0.028446
10107,2015-01-30,-0.130248
10107,2015-02-27,0.093069
10107,2015-03-31,-0.072862
10107,2015-04-30,0.196409
10107,2015-05-29,-0.030222
10107,2015-06-30,-0.057832
10107,2015-07-31,0.057758
10107,2015-08-31,-0.061456
10107,2015-09-30,0.017004
10107,2015-10-30,0.189336
10107,2015-11-30,0.039324
10107,2015-12-31,0.020791
10107,2016-01-29,-0.007030
10107,2016-02-29,-0.069886
10107,2016-03-31,0.085495
10107,2016-04-29,-0.097049
10107,2016-05-31,0.069982
10107,2016-06-30,-0.034528
10107,2016-07-29,0.107680
10107,2016-08-31,0.020113
